name,code,market,par_value,total_shrs
디와이파워,210540,KOSPI,500,11041708
DYP,092780,KOSPI,500,13168460
디와이피엔에프,104460,KOSDAQ,500,10713625
디이엔티,079810,KOSDAQ,500,22028094
디젠스,113810,KOSDAQ,500,32628051
디지아이,043360,KOSDAQ,500,9000000
DGI,099520,KOSDAQ,500,45281824
디지캡,197140,KOSDAQ,500,13013154
디지털대성,068930,KOSDAQ,500,27675342
디지틀조선,033130,KOSDAQ,500,37115267
DGP,060900,KOSDAQ,1000,26124029
디케이락,105740,KOSDAQ,500,10168513
디케이앤디,263020,KOSDAQ,500,14499831
DKME,015590,KOSPI,500,236981544
디케이티,290550,KOSDAQ,500,20001230
디티씨,066670,KOSDAQ,500,18691918
디티앤씨,187220,KOSDAQ,500,11698021
디티앤씨알오,383930,KOSDAQ,500,12784128
딜리,131180,KOSDAQ,100,29350000
딥노이드,315640,KOSDAQ,500,22442268
딥마인드,223310,KOSDAQ,100,22839375
라닉스,317120,KOSDAQ,500,9660000
라메디텍,462510,KOSDAQ,500,8770965
라온시큐어,042510,KOSDAQ,2500,11205174
라온테크,232680,KOSDAQ,500,12534234
라온텍,418420,KOSDAQ,100,30337558
라온피플,300120,KOSDAQ,500,20860012
라이온켐텍,171120,KOSDAQ,500,35901760
라이콤,388790,KOSDAQ,100,30590343
라파스,214260,KOSDAQ,500,8922463
라피치,403360,KONEX,500,3449454
램테크놀러지,171010,KOSDAQ,500,14298752
랩지노믹스,084650,KOSDAQ,500,74239990
러셀,217500,KOSDAQ,100,31812000
럭스피아,092590,KONEX,500,7291098
레드캡투어,038390,KOSDAQ,500,16720822
레몬,294140,KOSDAQ,500,21000000
레뷰코퍼레이션,443250,KOSDAQ,500,11115260
레이,228670,KOSDAQ,500,15513053
레이언스,228850,KOSDAQ,500,16591014
레이저쎌,412350,KOSDAQ,500,8726972
레이저옵텍,199550,KOSDAQ,500,12044791
레이크머티리얼즈,281740,KOSDAQ,100,65730548
